datarecordID,hmsDatasetID,recordedPlate,recordedWell,controlType,protein_ppCenterSpecificID,protein_ppCenterSampleID,protein_ppName,smallmolecule_smSalt,smallmolecule_smCenterCompoundID,smallmolecule_smLincsID,smallmolecule_smCenterSampleID,smallmolecule_smName,datapointName,datapointUnit,datapointValue
142090,20211,,,,200001,,AAK1,101,10356,LSM-6712,1,5z-7-oxozeaenol,percentControl,,61
142090,20211,,,,200001,,AAK1,101,10356,LSM-6712,1,5z-7-oxozeaenol,assayCompoundConcentration,,1
142090,20211,,,,200001,,AAK1,101,10356,LSM-6712,1,5z-7-oxozeaenol,concUnit,,uM
142091,20211,,,,200004,,ABL1(E255K)-phosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,percentControl,,81
142091,20211,,,,200004,,ABL1(E255K)-phosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,assayCompoundConcentration,,1
142091,20211,,,,200004,,ABL1(E255K)-phosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,concUnit,,uM
142092,20211,,,,200006,,ABL1(F317I)-nonphosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,percentControl,,97
142092,20211,,,,200006,,ABL1(F317I)-nonphosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,assayCompoundConcentration,,1
142092,20211,,,,200006,,ABL1(F317I)-nonphosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,concUnit,,uM
142093,20211,,,,200007,,ABL1(F317I)-phosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,percentControl,,100
142093,20211,,,,200007,,ABL1(F317I)-phosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,assayCompoundConcentration,,1
142093,20211,,,,200007,,ABL1(F317I)-phosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,concUnit,,uM
142094,20211,,,,200009,,ABL1(F317L)-nonphosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,percentControl,,100
142094,20211,,,,200009,,ABL1(F317L)-nonphosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,assayCompoundConcentration,,1
142094,20211,,,,200009,,ABL1(F317L)-nonphosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,concUnit,,uM
142095,20211,,,,200010,,ABL1(F317L)-phosphorylated,101,10356,LSM-6712,1,5z-7-oxozeaenol,percentControl,,100
